x,y,z
593.7639,19.14907,689.7653
593.754,19.14997,689.7455
593.744,19.15087,689.7257
593.7341,19.15176,689.7059
593.724,19.15265,689.6862
593.714,19.15353,689.6663
593.704,19.15441,689.6465
593.6938,19.15527,689.6267
593.6837,19.15613,689.607
593.6736,19.15698,689.5873
593.6635,19.15782,689.5676
593.6533,19.15865,689.5479
593.643,19.15948,689.5282
593.6328,19.1603,689.5085
593.6225,19.16111,689.4889
593.6122,19.16191,689.4692
593.6019,19.1627,689.4496
593.5916,19.16348,689.4301
593.5811,19.16426,689.4105
593.5707,19.16502,689.3908
593.5602,19.16578,689.3713
593.5497,19.16653,689.3517
593.5391,19.16727,689.3322
593.5286,19.168,689.3127
593.518,19.16872,689.2933
593.5074,19.16943,689.2737
593.4968,19.17013,689.2543
593.4861,19.17082,689.2347
593.4754,19.1715,689.2154
593.4646,19.17217,689.196
593.4539,19.17283,689.1767
593.4431,19.17348,689.1573
593.4323,19.17413,689.138
593.4213,19.17476,689.1187
593.4104,19.17538,689.0992
593.3995,19.17599,689.08
593.3885,19.17659,689.0607
593.3775,19.17718,689.0415
593.3664,19.17775,689.0223
593.3553,19.17832,689.0031
593.3442,19.17887,688.9839
593.333,19.17942,688.9647
593.3218,19.17995,688.9456
593.3105,19.18047,688.9264
593.2993,19.18098,688.9073
593.288,19.18148,688.8882
593.2766,19.18196,688.8691
593.2652,19.18243,688.85
593.2537,19.1829,688.8311
593.2423,19.18335,688.8121
593.2307,19.18378,688.7931
593.2192,19.1842,688.7742
593.2077,19.18461,688.7553
593.196,19.18501,688.7363
593.1843,19.18539,688.7175
593.1726,19.18576,688.6986
593.1608,19.18612,688.6798
593.149,19.18647,688.661
593.1373,19.1868,688.6422
593.1254,19.18711,688.6235
593.1135,19.18742,688.6049
593.1015,19.18771,688.5861
593.0895,19.18798,688.5674
593.0774,19.18824,688.5488
593.0653,19.18849,688.5302
593.0532,19.18872,688.5116
593.041,19.18893,688.493
593.0288,19.18914,688.4745
593.0165,19.18932,688.4561
593.0042,19.1895,688.4376
592.9918,19.18965,688.4191
592.9794,19.18979,688.4008
592.9669,19.18992,688.3824
592.9545,19.19003,688.3641
592.9419,19.19012,688.3457
592.9293,19.1902,688.3275
592.9166,19.19026,688.3092
592.9039,19.1903,688.291
592.8912,19.19033,688.2728
592.8785,19.19034,688.2548
592.8656,19.19034,688.2366
592.8527,19.19032,688.2185
592.8398,19.19028,688.2005
592.8268,19.19022,688.1825
592.8137,19.19015,688.1646
592.8007,19.19005,688.1467
592.7876,19.18995,688.1288
592.7744,19.18982,688.1109
592.7611,19.18967,688.0931
592.7478,19.18951,688.0753
592.7345,19.18933,688.0576
592.7211,19.18913,688.0399
592.7076,19.18891,688.0223
592.6942,19.18867,688.0046
592.6806,19.18841,687.9871
592.667,19.18813,687.9695
592.6533,19.18784,687.952
592.6396,19.18752,687.9346
592.6259,19.18719,687.9172
592.6121,19.18683,687.8998
592.5981,19.18645,687.8825
592.5842,19.18606,687.8652
592.5702,19.18564,687.848
592.5562,19.18521,687.8308
592.5421,19.18475,687.8137
592.528,19.18427,687.7966
592.5138,19.18377,687.7797
592.4995,19.18325,687.7626
592.4852,19.18271,687.7457
592.4708,19.18215,687.7287
592.4564,19.18156,687.7119
592.4418,19.18095,687.6951
592.4273,19.18032,687.6783
592.4128,19.17967,687.6617
592.3981,19.17898,687.6452
592.3834,19.17824,687.6286
592.3686,19.17746,687.612
592.3538,19.17665,687.5956
592.3389,19.17578,687.5791
592.3239,19.17487,687.5627
592.309,19.17394,687.5464
592.2939,19.17295,687.5302
592.2787,19.17193,687.514
592.2636,19.17088,687.4977
592.2484,19.16978,687.4817
592.2331,19.16865,687.4656
592.2178,19.16748,687.4496
592.2025,19.16628,687.4336
592.187,19.16504,687.4177
592.1716,19.16377,687.4018
592.156,19.16246,687.3859
592.1404,19.16112,687.3701
592.1249,19.15976,687.3544
592.1093,19.15836,687.3387
592.0935,19.15692,687.3231
592.0778,19.15546,687.3075
592.0621,19.15396,687.292
592.0461,19.15244,687.2764
592.0303,19.15088,687.261
592.0145,19.14931,687.2457
591.9985,19.1477,687.2303
591.9825,19.14606,687.215
591.9665,19.14439,687.1998
591.9504,19.1427,687.1846
591.9343,19.14098,687.1694
591.9182,19.13924,687.1543
591.9019,19.13748,687.1392
591.8857,19.13568,687.1242
591.8694,19.13387,687.1093
591.8531,19.13202,687.0943
591.8368,19.13015,687.0793
591.8204,19.12827,687.0645
591.804,19.12636,687.0497
591.7875,19.12443,687.0349
591.771,19.12248,687.0203
591.7545,19.1205,687.0056
591.7379,19.11851,686.9909
591.7213,19.1165,686.9763
591.7047,19.11446,686.9617
591.688,19.11241,686.9472
591.6713,19.11034,686.9327
591.6545,19.10825,686.9183
591.6378,19.10614,686.9039
591.621,19.10402,686.8896
591.6041,19.10188,686.8753
591.5873,19.09972,686.8611
591.5704,19.09755,686.8469
591.5535,19.09536,686.8326
591.5365,19.09315,686.8185
591.5195,19.09093,686.8044
591.5025,19.0887,686.7903
591.4854,19.08645,686.7763
591.4683,19.08419,686.7623
591.4512,19.08191,686.7484
591.4341,19.07962,686.7344
591.4169,19.07732,686.7206
591.3997,19.07501,686.7068
591.3824,19.07269,686.693
