x,y,z
496.1382,27.73886,526.5749
496.1844,27.74504,526.576
496.2306,27.7512,526.5771
496.2769,27.75735,526.5784
496.3232,27.76349,526.5797
496.3693,27.76958,526.5811
496.4154,27.77565,526.5825
496.4615,27.7817,526.584
496.5078,27.78774,526.5855
496.554,27.79377,526.5871
496.6003,27.79978,526.5887
496.6466,27.80578,526.5905
496.6927,27.81172,526.5922
496.7388,27.81765,526.594
496.785,27.82356,526.5958
496.8312,27.82946,526.5977
496.8775,27.83534,526.5996
496.9238,27.8412,526.6016
496.97,27.84704,526.6036
497.0161,27.85284,526.6057
497.0623,27.85861,526.6078
497.1084,27.86438,526.61
497.1547,27.87012,526.6122
497.2009,27.87585,526.6145
497.2473,27.88156,526.6168
497.2935,27.88724,526.6191
497.3396,27.89288,526.6215
497.3857,27.89849,526.6238
497.4319,27.9041,526.6263
497.4781,27.90968,526.6287
497.5245,27.91525,526.6312
497.5708,27.9208,526.6338
497.617,27.92631,526.6364
497.6631,27.93179,526.6389
497.7093,27.93724,526.6416
497.7555,27.94268,526.6442
497.8017,27.9481,526.6469
497.848,27.9535,526.6497
497.8944,27.95888,526.6524
497.9406,27.96421,526.6552
497.9867,27.96952,526.658
498.0329,27.9748,526.6608
498.0791,27.98006,526.6636
498.1253,27.98531,526.6665
498.1716,27.99053,526.6694
498.218,27.99574,526.6723
498.2642,28.0009,526.6752
498.3104,28.00603,526.6782
498.3565,28.01113,526.6811
498.4027,28.01622,526.6841
498.449,28.02128,526.6871
498.4954,28.02632,526.6901
498.5417,28.03135,526.6931
498.588,28.03633,526.6962
498.6341,28.04127,526.6992
498.6803,28.04619,526.7023
498.7265,28.05109,526.7054
498.7728,28.05597,526.7085
498.8192,28.06083,526.7115
498.8655,28.06566,526.7147
498.9118,28.07045,526.7178
498.9579,28.07521,526.7209
499.0042,28.07994,526.7241
499.0504,28.08465,526.7272
499.0967,28.08934,526.7303
499.143,28.094,526.7335
499.1895,28.09864,526.7366
499.2357,28.10324,526.7398
499.2819,28.10781,526.7429
499.3281,28.11234,526.7461
499.3744,28.11686,526.7493
499.4207,28.12135,526.7524
499.467,28.12581,526.7556
499.5135,28.13026,526.7588
499.5598,28.13467,526.762
499.606,28.13903,526.7651
499.6522,28.14337,526.7682
499.6985,28.14768,526.7714
499.7448,28.15197,526.7745
499.7912,28.15623,526.7776
499.8376,28.16047,526.7808
499.8841,28.16468,526.7839
499.9303,28.16884,526.787
499.9765,28.17298,526.7902
500.0228,28.17708,526.7932
500.0691,28.18117,526.7963
500.1155,28.18522,526.7994
500.1619,28.18925,526.8025
500.2084,28.19326,526.8055
500.2547,28.19722,526.8086
500.3009,28.20115,526.8116
500.3472,28.20504,526.8146
500.3936,28.20892,526.8176
500.4399,28.21276,526.8206
500.4864,28.21658,526.8236
500.5328,28.22038,526.8265
500.5793,28.22413,526.8295
500.6255,28.22784,526.8325
500.6718,28.23153,526.8353
500.7182,28.23519,526.8383
500.7646,28.23882,526.8411
500.811,28.24242,526.844
500.8575,28.246,526.8468
500.9041,28.24955,526.8496
500.9501,28.25304,526.8524
500.9962,28.25651,526.8552
501.0424,28.25998,526.8581
501.0887,28.26344,526.8611
501.135,28.26689,526.864
501.1815,28.27033,526.8671
501.228,28.27376,526.8701
501.2747,28.27719,526.8732
501.3214,28.28061,526.8764
501.3679,28.28399,526.8796
501.4139,28.28732,526.8828
501.46,28.29066,526.886
501.5063,28.29398,526.8893
501.5526,28.29729,526.8926
501.599,28.30059,526.8959
501.6454,28.30389,526.8994
501.692,28.30718,526.9028
501.7387,28.31046,526.9063
501.7854,28.31373,526.9098
501.8315,28.31694,526.9133
501.8776,28.32014,526.9169
501.9238,28.32333,526.9205
501.97,28.32651,526.9241
502.0164,28.32968,526.9277
502.0628,28.33284,526.9315
502.1093,28.33599,526.9352
502.1558,28.33914,526.939
502.2025,28.34227,526.9428
502.2491,28.34539,526.9467
502.2951,28.34846,526.9505
502.3412,28.35151,526.9543
502.3874,28.35456,526.9583
502.4337,28.3576,526.9622
502.48,28.36063,526.9662
502.5264,28.36365,526.9702
502.5729,28.36666,526.9742
502.6194,28.36966,526.9784
502.666,28.37265,526.9825
502.7125,28.37562,526.9866
502.7586,28.37855,526.9908
502.8047,28.38147,526.995
502.8509,28.38438,526.9991
502.8972,28.38728,527.0034
502.9435,28.39017,527.0077
502.9898,28.39305,527.012
503.0363,28.39592,527.0164
503.0828,28.39878,527.0207
503.1294,28.40163,527.0251
503.1758,28.40446,527.0295
503.2219,28.40725,527.0339
503.2681,28.41003,527.0384
503.3142,28.41281,527.0428
503.3605,28.41557,527.0474
503.4068,28.41832,527.0519
503.4531,28.42106,527.0565
503.4995,28.42379,527.061
503.546,28.42651,527.0657
503.5925,28.42922,527.0703
503.6391,28.43192,527.075
503.6851,28.43457,527.0797
503.7313,28.43721,527.0844
503.7774,28.43985,527.0891
503.8236,28.44247,527.0939
503.8699,28.44509,527.0986
503.9162,28.44769,527.1035
503.9626,28.45028,527.1083
504.009,28.45286,527.1132
