UnityTime [s],X,Y,Z,RX,RY,RZ,X2,Y2,Z2,RX2,RY2,RZ2,tangent,ERROR y,X - X2,Y - Y2,Z - Z2,RX - RX2,RY - RY2,RZ - RZ2,
24.51389,537.618,19.4015,639.0174,354.1245,187.5638,3.19515,537.6181,19.40158,639.0174,354.1245,187.564,3.195133,0.8727665,8.392334E-05,-6.103516E-05,-8.010864E-05,0,0,-0.0001831055,1.692772E-05,
24.51889,537.6155,19.4034,638.9992,354.0945,187.5189,3.201646,537.6156,19.40343,638.9992,354.0945,187.5189,3.201642,0.8775673,3.051758E-05,-6.103516E-05,-2.670288E-05,0,-6.103516E-05,0,4.768372E-06,
24.52389,537.6132,19.4053,638.981,354.0642,187.4738,3.208206,537.6132,19.40532,638.981,354.0642,187.4736,3.20822,0.8823881,2.479553E-05,0,-2.479553E-05,0,-3.051758E-05,0.0001831055,-1.478195E-05,
24.52889,537.6108,19.40722,638.9627,354.0338,187.4281,3.21487,537.6109,19.4073,638.9627,354.0339,187.4283,3.214849,0.8872223,8.583069E-05,-0.0001220703,-8.010864E-05,0,-9.155273E-05,-0.0001678467,2.145767E-05,
24.53389,537.6084,19.40914,638.9445,354.0034,187.3834,3.221493,537.6086,19.40926,638.9445,354.0036,187.3834,3.221484,0.8920517,0.0001277924,-0.0001831055,-0.0001182556,0,-0.0001220703,0,8.583069E-06,
24.53889,537.6061,19.41108,638.9263,353.9729,187.3379,3.228232,537.6063,19.41123,638.9263,353.973,187.3386,3.228158,0.8969069,0.0001659393,-0.0001831055,-0.0001564026,0,-9.155273E-05,-0.0006408691,7.486343E-05,
24.54388,537.6037,19.41303,638.908,353.9422,187.2935,3.234921,537.6039,19.41321,638.908,353.9423,187.2935,3.23491,0.9017668,0.00020208,-0.0002441406,-0.0001792908,0,-0.0001220703,-3.051758E-05,1.001358E-05,
24.54888,537.6014,19.41498,638.8898,353.9114,187.2487,3.241689,537.6017,19.41517,638.8898,353.9116,187.2489,3.241647,0.906621,0.0002002716,-0.0002441406,-0.0001869202,0,-0.0002441406,-0.0002441406,4.124641E-05,
24.55388,537.5991,19.41695,638.8715,353.8805,187.2041,3.248492,537.5994,19.41715,638.8715,353.8806,187.2038,3.248508,0.91152,0.0002098083,-0.0002441406,-0.0001964569,0,-0.0001525879,0.0002441406,-1.573563E-05,
24.55888,537.5968,19.41893,638.8533,353.8495,187.1595,3.255333,537.597,19.41912,638.8533,353.8495,187.1595,3.255323,0.9164152,0.000202179,-0.0002441406,-0.0001888275,0,-6.103516E-05,-3.051758E-05,1.0252E-05,
24.56388,537.5945,19.42092,638.835,353.8184,187.1149,3.262233,537.5947,19.42109,638.835,353.8185,187.1153,3.262182,0.9213133,0.0001850128,-0.0002441406,-0.0001716614,0,-9.155273E-05,-0.0004119873,5.078316E-05,
24.56888,537.5922,19.42292,638.8167,353.7872,187.0705,3.269156,537.5924,19.42307,638.8167,353.7872,187.0705,3.269155,0.92624,0.0001564026,-0.0001831055,-0.0001468658,0,0,0,4.768372E-07,
24.57388,537.59,19.42493,638.7984,353.7557,187.0259,3.276145,537.5901,19.42505,638.7984,353.7556,187.0261,3.276127,0.9311762,0.0001239777,-0.0001831055,-0.0001144409,0,0.0001220703,-0.0002288818,1.811981E-05,
24.57888,537.5877,19.42695,638.7802,353.7244,186.9822,3.282812,537.5878,19.42701,638.7802,353.7243,186.9822,3.28308,0.9360781,7.05719E-05,-0.0001220703,-6.484985E-05,0,3.051758E-05,0,-0.0002677441,
24.58388,537.5855,19.42897,638.762,353.6929,186.9379,3.289429,537.5855,19.42898,638.762,353.6929,186.9379,3.290118,0.9409943,1.144409E-05,0,-1.144409E-05,0,0,0,-0.0006890297,
24.58888,537.5833,19.43101,638.7437,353.6613,186.8938,3.296083,537.5834,19.43106,638.7437,353.6613,186.8944,3.29713,0.9459257,6.103516E-05,-0.0001220703,-5.340576E-05,0,0,-0.0005645752,-0.001046658,
24.59388,537.5811,19.43305,638.7256,353.6296,186.8502,3.302733,537.5812,19.43314,638.7256,353.6299,186.8504,3.304224,0.9508305,9.536743E-05,-0.0001220703,-8.964539E-05,0,-0.0002441406,-0.0001678467,-0.001490831,
